Show Name	Keyword	minp	maxp	tag
Bridal Formal Wear	bridal formal wear	0		Bridal Gowns
Chic Party Dresses	chic party dresses	0		Party Dresses;Sexy
Cinderella Ball Gown	cinderella ball gown	0		Ball Gown;Cinderella
Cinderella Ball Gowns	cinderella ball gowns	0		Ball Gown;Cinderella
Cinderella by Special Occasions Dresses	cinderella by special occasions dresses	0		Club Dresses;Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Cinderella
				
Cinderella Quinceanera Dresses	cinderella quinceanera dresses	0		Quinceanera Dresses;Cinderella
Cinderella Sweet 16 Dresses	cinderella sweet 16 dresses	0		Sweet 16 Dresses;Cinderella
Classic Prom Dresses	classic prom dresses	0		Prom Dresses;Classic
Classy Cocktail Dresses	classy cocktail dresses	0		Cocktail Dresses
Different Wedding Dresses	different wedding dresses	0		Bridal Gowns
Duckys Formal Wear	duckys formal wear	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Elegant Evening Gown	elegant evening gown	0		Evening Dresses;Elegant
Elegant Formal Dresses	elegant formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Elegant
				
Elegant Special Occasion Dresses	elegant special occasion dresses	0		Club Dresses;Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Elegant
Elegant Wedding Guest Dresses	elegant wedding guest dresses	0		Wedding Guest Dresses;Elegant
Find the Perfect Little Black Dress	find the perfect little black dress	0		Little Black Dresses
Formal Dresses for Wedding Guests	formal dresses for wedding guests	0		Wedding Guest Dresses
Formal Gown Prom	formal gown prom	0		Prom Dresses
Formal Hawaiian Dresses	formal hawaiian dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses; Hawaiian
				
				
Formal Wear for Weddings	formal wear for weddings	0		Bridal Gowns;Bridesmaid Dresses;Flower Girl Dresses;Mother of the Bride Dresses;Wedding Guest Dresses
				
Formal Wedding Dresses for Guests	formal wedding dresses for guests	0		Wedding Guest Dresses
Girls Formal Gowns	girls formal gowns	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Hawaiian Formal Wear	hawaiian formal wear	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses; Hawaiian
Hot Club Dress	hot club dress	0		Club Dresses;Sexy
Hot Club Wear	hot club wear	0		Club Dresses;Sexy
Hot Cocktail Dresses	hot cocktail dresses	0		Cocktail Dresses;Sexy
Hot Evening Dresses	hot evening dresses	0		Evening Dresses;Sexy
Hot Homecoming Dresses	hot homecoming dresses	0		Homecoming Dresses;Sexy
Hottest Club Dresses	hottest club dresses	0		Club Dresses;Sexy
Inaugural Ball Gowns	inaugural ball gowns	0		Ball Gown
Misses Special Occasion Dresses	misses special occasion dresses	0		Club Dresses;Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Modest Ball Gowns	modest ball gowns	0		Ball Gown;Modest
Modest Formal Dress	modest formal dress	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Modest
Modest Graduation Dresses	modest graduation dresses	0		Graduation Dresses;Modest
Modest Homecoming Dresses	modest homecoming dresses	0		Homecoming Dresses;Modest
Modest Little Black Dress	modest little black dress	0		Little Black Dresses;Modest
Modest Semi Formal Dresses	modest semi formal dresses	0		Cocktail Dresses;Modest
Mother of the Bride Fashion	mother of the bride fashion	0		Mother of the Bride Dresses
Nice Cocktail Dresses	nice cocktail dresses	0		Cocktail Dresses
Party Formal Dresses	party formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Perfect Cocktail Dress	perfect cocktail dress	0		Cocktail Dresses
Perfect Prom Dresses	perfect prom dresses	0		Prom Dresses
Plain Wedding Dresses	plain wedding dresses	0		Bridal Gowns;Plain
Popular Bridesmaid Dresses	popular bridesmaid dresses	0		Bridesmaid Dresses
Pretty Cocktail Dresses	pretty cocktail dresses	0		Cocktail Dresses
Pretty Graduation Dresses	pretty graduation dresses	0		Graduation Dresses
Pretty Homecoming Dresses	pretty homecoming dresses	0		Homecoming Dresses
Pretty Sweet 16 Dresses	pretty sweet 16 dresses	0		Sweet 16 Dresses
Semi Formal Evening Wear	semi formal evening wear	0		Cocktail Dresses
Simple Homecoming Dresses	simple homecoming dresses	0		Homecoming Dresses;Simple
Special Occasion Formal Dresses	special occasion formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Super Sweet 16 Dresses	super sweet 16 dresses	0		Sweet 16 Dresses
the Perfect Homecoming Dress	the perfect homecoming dress	0		Homecoming Dresses
Casual Mini Dresses	casual mini dresses	0		Mini;Casual
Glitter Mini Dress	glitter mini dress	0		Rhinestone;Gems;Sequin;Mini
Hot Mini Dresses	hot mini dresses	0		Mini;Sexy
Buy Wedding Dress	buy wedding dress	0		Bridal Gowns
Buy Wedding Dresses	buy wedding dresses	0		Bridal Gowns
Buy Ball Gowns	buy ball gowns	0		Ball Gown
Buy Bridesmaid Dress	buy bridesmaid dress	0		Bridesmaid Dresses
Buy Bridesmaid Dresses	buy bridesmaid dresses	0		Bridesmaid Dresses
Buy Evening Dress	buy evening dress	0		Evening Dresses
Buy Evening Dresses	buy evening dresses	0		Evening Dresses
Buy Little Black Dress	buy little black dress	0		Little Black Dresses
Buy Prom Dresses	buy prom dresses	0		Prom Dresses
in Stock Bridesmaid Dresses	in stock bridesmaid dresses	0		Bridesmaid Dresses
Prom Dress Shopping	prom dress shopping	0		Prom Dresses
Shop Evening Dresses	shop evening dresses	0		Evening Dresses
Shop Prom Dresses	shop prom dresses	0		Prom Dresses
Where to Buy Club Dresses	where to buy club dresses	0		Club Dresses
Where to Buy Prom Dresses	where to buy prom dresses	0		Prom Dresses
Buy Cocktail Dresses	buy cocktail dresses	0		Cocktail Dresses
Buy Formal Dress	buy formal dress	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Buy Formal Dresses	buy formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Buy Homecoming Dresses	buy homecoming dresses	0		Homecoming Dresses
Buy Quinceanera Dresses	buy quinceanera dresses	0		Quinceanera Dresses
Homecoming Dress Shopping	homecoming dress shopping	0		Homecoming Dresses
in Stock Prom Dresses	in stock prom dresses	0		Prom Dresses
Shop Formal Dresses	shop formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Shop Special Occasion Dresses	shop special occasion dresses	0		Club Dresses;Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses
Where Can I Buy a Little Black Dress	where can i buy a little black dress	0		Little Black Dresses
Where to Buy a Little Black Dress	where to buy a little black dress	0		Little Black Dresses
Where to Buy Homecoming Dresses	where to buy homecoming dresses	0		Homecoming Dresses
Fall Bridesmaid Dresses	fall bridesmaid dresses	0		Bridesmaid Dresses;Fall
Summer Bridesmaid Dresses	summer bridesmaid dresses	0		Bridesmaid Dresses;Summer
Winter Formal Dresses	winter formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Winter
Mother of the Groom Dresses for Fall	mother of the groom dresses for fall	0		Mother of the Bride Dresses;Fall
Fall Mother of the Bride Dresses	fall mother of the bride dresses	0		Mother of the Bride Dresses;Fall
Mother of the Bride Summer Dresses	mother of the bride summer dresses	0		Mother of the Bride Dresses;Summer
Spring Bridesmaid Dresses	spring bridesmaid dresses	0		Bridesmaid Dresses;Spring
Spring Formal Dresses	spring formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Spring
Spring Mother of the Bride Dresses	spring mother of the bride dresses	0		Mother of the Bride Dresses;Spring
Spring Party Dresses	spring party dresses	0		Party Dresses;Spring
Spring Wedding Dresses	spring wedding dresses	0		Bridal Gowns;Spring
Summer Bridal Gowns	summer bridal gowns	0		Bridal Gowns;Summer
Summer Cocktail Dresses	summer cocktail dresses	0		Cocktail Dresses;Summer
Summer Evening Dress	summer evening dress	0		Evening Dresses;Summer
Summer Evening Dresses	summer evening dresses	0		Evening Dresses;Summer
Summer Formal Dresses	summer formal dresses	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Summer
Summer Mother of the Bride Dresses	summer mother of the bride dresses	0		Mother of the Bride Dresses;Summer
Summer Party Dress	summer party dress	0		Party Dresses;Summer
Summer Party Dresses	summer party dresses	0		Party Dresses;Summer
Wedding Guest Dresses for Summer	wedding guest dresses for summer	0		Wedding Guest Dresses;Summer
Winter Bridal Gowns	winter bridal gowns	0		Bridal Gowns;Winter
Winter Formal Dress	winter formal dress	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Winter
